watchNumber,MACid,serialNumber
W001,ed:73:42:ee:3f:d9,f0d9f818-9f4968c1
W002,ee:22:5c:2e:05:10,6cc37388-a01c03b0
W003,d5:be:b8:6b:37:ca,5c62a245-cf0c8552
W004,d6:a5:0f:e3:7e:ed,d408d083-1d653f7c
W005,c0:0b:81:34:21:da,541095bb-c6fa6531
W006,f5:ee:cf:26:76:4b,857875d3-78aecf8c
W007,f7:8a:aa:c5:94:36,8975ddbb-a05b678e
W008,fd:e4:1e:bb:76:0a,60dc8f35-502571de
W009,de:13:39:d2:a1:3c,1393f2f8-8ed91a6d
W010,e6:3d:7e:d8:2c:ee,7440756e-c4ef9af8
W011,da:f9:af:41:7a:63,68130ecd-6e964fa7
W012,d8:f6:88:17:34:aa,3a21f088-3c5acbf0
W013,e8:7d:a4:2d:9f:37,987193f5-ce135a13
W014,e4:71:18:c4:fd:91,dd6506ae-b1428dee
W015,e8:7e:ed:a4:c9:57,038f1996-44b9cb7c
W016,ce:15:25:0f:13:5e,e130b080-6f2dea46
W017,dd:56:ac:d2:79:e3,0cfc9453-e625bed5
W018,e3:0f:35:a1:a6:31,75fe114b-0dfe6b27
W019,d0:f8:a2:92:e3:f5,6578ae8c-7aa5930b
W020,c3:89:a2:61:01:33,21a925d8-47decc97
W021,f1:94:c7:13:36:e8,d1c37252-0fb8094a
W022,dc:70:da:5d:0b:71,2a3b89cd-6a2d99d4
W023,c5:be:08:48:b1:6a,5123b6c6-c90b0652
W024,ff:e7:06:3b:16:50,02020fa2-efad7d3a
W025,e4:db:81:62:f9:37,c915e4b8-57cc43fc
W026,c7:59:31:6d:51:7f,081c25fa-b767a6be
W027,d2:2a:2c:6b:49:53,f4b6e2e5-231e6e6c
W028,ce:9c:fe:e1:3b:f8,d6e1710f-e6783ef6
W029,e0:f9:93:56:ca:c7,c4fa4ac0-676d9ba0
W030,fb:1a:d6:2e:50:c6,dbe62526-9d24ac4c
W031,cf:78:44:86:14:80,17b6447c-7935b147
W032,da:e4:86:c1:b3:48,820f2a09-709160c9
W033,d8:49:c7:f8:3d:39,92292841-1c3d0169
W034,d0:ba:25:c0:25:fa,9929c31d-09d4e7b5
W035,c5:f8:f9:b5:47:b2,cb790185-1f241cce
W036,c1:0f:6e:fa:c8:31,b9216b80-9d4ae484
W037,d8:8a:52:0a:52:a8,963a869d-d057e561
W038,d4:b2:46:8d:e9:7f,20ba906b-dba34288
W039,dc:34:89:fe:d2:f0,ea37b6f7-66e7363f
W040,cf:55:97:a0:a6:ed,a1844d41-7a6ce5c5